pixel_number,run_number,detector,source
11,8655,UDET: VALENTINE,Bi-207-9177 Y2-744
11,8709,UDET: VALENTINE,Bi-207-9177 Y2-744
11,8855,UDET: VALENTINE,Bi-207-9177 Y2-744
12,8646,UDET: VALENTINE,Bi-207-9177 Y2-744
12,8848,UDET: VALENTINE,Bi-207-9177 Y2-744
17,8631,UDET: VALENTINE,Bi-207-9176 Y2-743
17,8647,UDET: VALENTINE,Bi-207-9176 Y2-743
17,8690,UDET: VALENTINE,Bi-207-9176 Y2-743
17,8828,UDET: VALENTINE,Bi-207-9176 Y2-743
17,8839,UDET: VALENTINE,Bi-207-9176 Y2-743
17,8847,UDET: VALENTINE,Bi-207-9176 Y2-743
19,8643,UDET: VALENTINE,Bi-207-9177 Y2-744
19,8696,UDET: VALENTINE,Bi-207-9177 Y2-744
19,8859,UDET: VALENTINE,Bi-207-9177 Y2-744
20,8625,UDET: VALENTINE,Bi-207-9177 Y2-744
20,8684,UDET: VALENTINE,Bi-207-9177 Y2-744
20,8832,UDET: VALENTINE,Bi-207-9177 Y2-744
21,8631,UDET: VALENTINE,Bi-207-9177 Y2-744
21,8839,UDET: VALENTINE,Bi-207-9177 Y2-744
26,8624,UDET: VALENTINE,Bi-207-9176 Y2-743
26,8630,UDET: VALENTINE,Bi-207-9176 Y2-743
26,8683,UDET: VALENTINE,Bi-207-9176 Y2-743
26,8689,UDET: VALENTINE,Bi-207-9176 Y2-743
26,8828,UDET: VALENTINE,Bi-207-9176 Y2-743
26,8834,UDET: VALENTINE,Bi-207-9176 Y2-743
26,8840,UDET: VALENTINE,Bi-207-9176 Y2-743
26,8847,UDET: VALENTINE,Bi-207-9176 Y2-743
28,8637,UDET: VALENTINE,Bi-207-9177 Y2-744
28,8694,UDET: VALENTINE,Bi-207-9177 Y2-744
28,8860,UDET: VALENTINE,Bi-207-9177 Y2-744
29,8624,UDET: VALENTINE,Bi-207-9177 Y2-744
29,8654,UDET: VALENTINE,Bi-207-9177 Y2-744
29,8683,UDET: VALENTINE,Bi-207-9177 Y2-744
29,8708,UDET: VALENTINE,Bi-207-9177 Y2-744
29,8834,UDET: VALENTINE,Bi-207-9177 Y2-744
29,8854,UDET: VALENTINE,Bi-207-9177 Y2-744
30,8630,UDET: VALENTINE,Bi-207-9177 Y2-744
30,8647,UDET: VALENTINE,Bi-207-9177 Y2-744
30,8657,UDET: VALENTINE,Bi-207-9177 Y2-744
30,8689,UDET: VALENTINE,Bi-207-9177 Y2-744
30,8699,UDET: VALENTINE,Bi-207-9177 Y2-744
30,8824,UDET: VALENTINE,Bi-207-9177 Y2-744
30,8828,UDET: VALENTINE,Bi-207-9177 Y2-744
30,8840,UDET: VALENTINE,Bi-207-9177 Y2-744
30,8847,UDET: VALENTINE,Bi-207-9177 Y2-744
31,8656,UDET: VALENTINE,Bi-207-8890 X5-302
31,8710,UDET: VALENTINE,Bi-207-8890 X5-302
31,8856,UDET: VALENTINE,Bi-207-8890 X5-302
32,8637,UDET: VALENTINE,Bi-207-8890 W8-435
32,8654,UDET: VALENTINE,Bi-207-8890 W8-435
32,8694,UDET: VALENTINE,Bi-207-8890 W8-435
32,8708,UDET: VALENTINE,Bi-207-8890 W8-435
32,8854,UDET: VALENTINE,Bi-207-8890 W8-435
32,8860,UDET: VALENTINE,Bi-207-8890 W8-435
37,8648,UDET: VALENTINE,Bi-207-9176 Y2-743
37,8715,UDET: VALENTINE,Bi-207-9176 Y2-743
37,8846,UDET: VALENTINE,Bi-207-9176 Y2-743
39,8637,UDET: VALENTINE,Bi-207-9177 Y2-744
39,8653,UDET: VALENTINE,Bi-207-9177 Y2-744
39,8694,UDET: VALENTINE,Bi-207-9177 Y2-744
39,8707,UDET: VALENTINE,Bi-207-9177 Y2-744
39,8853,UDET: VALENTINE,Bi-207-9177 Y2-744
39,8860,UDET: VALENTINE,Bi-207-9177 Y2-744
40,8624,UDET: VALENTINE,Bi-207-9177 Y2-744
40,8648,UDET: VALENTINE,Bi-207-9177 Y2-744
40,8683,UDET: VALENTINE,Bi-207-9177 Y2-744
40,8715,UDET: VALENTINE,Bi-207-9177 Y2-744
40,8834,UDET: VALENTINE,Bi-207-9177 Y2-744
40,8846,UDET: VALENTINE,Bi-207-9177 Y2-744
41,8645,UDET: VALENTINE,Bi-207-8890 X5-302
41,8698,UDET: VALENTINE,Bi-207-8890 X5-302
41,8858,UDET: VALENTINE,Bi-207-8890 X5-302
