"runnumber","runstarttime","rundescription","HV","Max HV leakage","LDET armor","LDET bias","LDET leakage","UDET armor","UDET ring","UDET bias","UDET leakage","SNS power","Beamline status","UDET","MAIN","Max bore pressure","ExB voltage","errorcode"
9037,1764353934000,Pulser test run while UDET is ramping down,0,0.238834,127.49635127307604,300,36.80911,134.19734869919438,120.00350481405432,300,0.007683216,0,0,22,86,1.042e-8,0,0
9036,1764350278000,"Standard source run (2xCd, 3xBi) with standard thresholds, LDET 130K, UDET 134K, position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,0.238834,129.78125686280464,300,35.3554,134.20867901565438,120.00189522191098,300,0.007485655,0,0,137,137,9.263e-9,-1999,0
9035,1764347688000,"Standard source run (2xCd, 3xBi) with standard thresholds, LDET 130K, UDET 134K, position 33.6; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,0.238834,129.83322990027656,300,35.32296,134.213279100501,120.00258119002632,300,0.007637368,0,0,137,137,9.255e-9,-1999,0
9034,1764343307000,Pulser test run,27,0.238834,129.8567131069503,300,35.3328,134.2187737988996,120.00421186395593,300,0.008843688,0,0,137,137,9.255e-9,-1999,0
9033,1764306368000,"Standard source run (2xCd, 3xBi) while reducing detector temperatures (LDET 149K -> 129K, UDET 153K -> 133K), position 33.6; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,1.663082,132.8180638931686,300,35.45573,136.84364654181468,120.26539621630607,300,0.01706545,0,0,137,137,9.322e-9,-1999,0
9032,1764301385000,"Standard source run (2xCd, 3xBi), LDET 149K, UDET 153K, position 33.6; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,3.290795,149.19452507518162,300,31.03443,152.7967793385852,140.0394615378774,300,0.01707917,0,0,137,137,9.322e-9,-1999,0
9031,1764277788000,"Standard source run (2xCd, 3xBi), while lowering detector temperatures (LDET 168K -> 148K, UDET 170K -> 150K), position 33.6; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,0.238834,151.63761969957253,300,31.64745,157.60222902243686,141.16192066402544,300,0.04712602,0,0,137,137,9.364e-9,-1999,0
9030,1764274760000,"Standard source run (2xCd, 3xBi), LDET 168K, UDET 170K, position 33.6; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,0.238834,168.27620504755845,300,16.25403,170.35141421527396,160.00833641610495,300,0.04723173,0,0,137,137,9.33e-9,-1999,0
9029,1764271091000,"Standard source run (2xCd, 3xBi), LDET 168K, UDET 170K, position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,2.070011,168.26473764589213,300,16.22696,170.33859747314452,160.00407045491536,300,0.0473421,0,0,137,137,9.322e-9,-1999,0
9028,1764268033000,pulser test run,,,168.25488300741154,300,16.2202,170.3236315381396,160.00687400063316,300,0.04792576,0,0,137,137,9.313e-9,-1999,0
9027,1764265166000,Pulser test run,,,168.24093724300988,300,16.16297,170.30881796077807,160.00503228635205,300,0.04824756,0,0,137,137,9.263e-9,-1999,0
9026,1764263966000,"Standard source run (2xCd, 3xBi), further increased thresholds on noisy pixels, LDET 168K, UDET 170K, position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",25,0.238834,168.23807199565206,300,16.17316,170.3050361234979,160.00645036199487,300,0.04828067,0,0,137,137,9.263e-9,-1999,0
9025,1764252251000,"Standard source run (2xCd, 3xBi), further increased thresholds on noisy pixels while increasing detector temperatures by 20K (LDET 149K -> 169K, UDET 153K -> 173K), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV restart of prev run",27,0.238834,168.18884681331562,300,16.13051,170.2591186680206,160.00926100500098,300,0.04930268,0,0,137,137,9.263e-9,-1999,0
9024,1764225779000,"Standard source run (2xCd, 3xBi), further increased thresholds on noisy pixels while increasing detector temperatures by 20K (LDET 149K -> 169K, UDET 153K -> 173K), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,0.238834,165.61166687637933,300,29.38739,168.09479611983852,160.1569086473741,300,0.05082309,0,0,137,137,9.263e-9,-1999,0
9023,1764225135000,"Standard source run (2xCd, 3xBi), further increased thresholds on noisy pixels while increasing detector temperatures by 20K (LDET 149K -> 169K, UDET 153K -> 173K), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,0.03537,150.92744240394006,300,30.06173,155.1111910893367,155.54582713200494,300,0.02518724,0,0,137,137,9.23e-9,-1999,0
9022,1764223153000,"Standard source run (2xCd, 3xBi), further increased thresholds on noisy pixels while increasing detector temperatures by 20K (LDET 149K -> 169K, UDET 153K -> 173K), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,22.009485,149.24827937534877,300,30.68435,153.25689955160652,145.20468711315746,299.76940814757876,0.02352721,0,0,137,137,9.288e-9,-1999,0
9021,1764219707000,"Standard source run (2xCd, 3xBi), after cycling preamp/FET power, LDET 149K, UDET 153K, position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,0.03537,149.04990621899802,300,30.68034,153.06299112769076,140.0115904035189,300,0.02310578,0,0,137,137,9.272e-9,-1999,0
9020,1764210385000,"Standard source run (2xCd, 3xBi), further increased thresholds on noisy pixels while increasing detector temperatures by 20K (LDET 130K -> 150K, UDET 135K -> 155K), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,0.03537,149.22482288966378,300,30.70127,152.77358415267594,140.06207052726987,300,0.02323415,0,0,137,137,9.372e-9,-1999,0
9019,1764209507000,"Standard source run (2xCd, 3xBi), further increased thresholds on noisy pixels while increasing detector temperatures by 20K (LDET 130K -> 150K, UDET 135K -> 155K), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,0.03537,149.50306701660156,300,30.48162,151.95020039876303,140.18506825764973,300,0.0225139,0,0,137,137,9.389e-9,-1999,0
9018,1764208797000,"Standard source run (2xCd, 3xBi), further increased thresholds on noisy pixels while increasing detector temperatures by 20K (LDET 130K -> 150K, UDET 135K -> 155K), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,0.03537,149.4875030517578,300,30.46925,151.67649841308594,140.21749877929688,300,0.02219495,0,0,137,137,9.381e-9,-1999,0
9017,1764202389000,"Standard source run (2xCd, 3xBi), increased thresholds on noisy pixels while increasing detector temperatures by 20K (LDET 130K -> 150K, UDET 135K -> 155K), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,0.03537,147.04113842999493,300,34.1021,148.98529021086517,140.6989446456344,300,0.02196049,0,0,137,137,9.423e-9,-1999,0
9016,1764198114000,"Standard source run (2xCd, 3xBi) while increasing detector temperatures by 20K (LDET 130K -> 150K, UDET 135K -> 155K), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV",27,0.03537,133.15625070884352,300,35.36109,137.7671460110717,135.41367498292513,300,0.01250056,0,0,137,137,9.457e-9,-1999,0
9015,1764196014000,"Standard source run (2xCd, 3xBi), pulser attenuation set properly, position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, UDET HV -27kV, ExB -2kV, UDET 135K, LDET 130K",27,0.238834,129.93792268271758,300,35.3716,134.71820793665043,120.00937000839166,300,0.007548936,0,0,137,137,9.508e-9,-1999,0
9014,1764176718000,"Standard source run (2xCd, 3xBi), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, ExB -2kV, UDET 135K, LDET 130K restart of prev run",27,0.238834,129.9325709502838,300,35.43653,134.70531707507348,120.01621240495221,300,0.007584907,0,0,137,137,9.465e-9,-1999,0
9013,1764022880000,"Standard source run (2xCd, 3xBi), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, ExB -2kV, UDET 135K, LDET 130K",27,3.494259,129.9389703604886,300,36.06268,134.66182582667602,120.00123471616179,300,0.008978444,0,0,137,137,9.049e-9,-1999,0
9012,1764020662000,"pulser disconnected, tempterature monitor turned off, pulser feedthrough capped, source run (2xCd, 3xBi), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, ExB -2kV, UDET 135K, LDET 130K",27,0.03537,,300,36.16243,134.66186289543654,120.00151255066957,300,0.009105642,0,0,137,137,8.887e-9,-1999,0
9011,1764018279000,"Standard source run (2xCd, 3xBi), position 34; 2.7, UDET/MAIN 137.2A, LDET/UDET bias -300V, ExB -2kV, UDET 135K, LDET 130K",27,0.03537,129.8455816224564,300,36.27468,134.66153645686967,120.01309396208619,300,0.009301449,0,0,137,137,8.911e-9,-1999,0
9010,1764016023000,"Attempt to reduce noise with sources inserted, pulser at 60Hz, unplugging preamps one by one, plugging each back in on their own, then plugging all back in one by one, each for about 30s, MAIN/UDET 137.2A, UDET/LDET bias -300V, ExB -2kV, LDET 130K, UDET 134K",27,0.238834,129.98191082234285,300,36.40441,134.650700097335,120.031225104081,300,0.009576359,0,0,137,137,8.96e-9,-1999,0
9009,1764013380000,"Attempt to reduce noise with sources inserted, pulser at 60Hz, unplugging preamps one by one, plugging each back in on their own, then plugging all of them back in one by one, each for about 30s, MAIN/UDET 137.2A, UDET/LDET -300V, ExB -2kV, LDET 130K, UDET 135K",27,0.03537,129.9701151087664,300,36.87858,134.61580594380698,119.98975065019395,300,0.01047624,0,0,137,137,9.106e-9,-1999,0
9008,1763828556000,Proton run (standard settings) after extracting monochromator and stopping chopper,27,0.03537,129.90459732982993,300,36.32128,134.64404438392566,120.00843638703283,300,0.008092362,1905,2,137,137,1.329e-8,-1999,0
9007,1763775073000,Restart overnight proton run (standard settings) after extracting monochromator and stopping chopper,27,0.238834,129.90206693488216,300,37.30065,134.63790432220935,120.00262427966351,300,0.009581681,1823,2,137,137,1.323e-8,-1999,0
9006,1763773161000,Overnight proton run (standard settings),27,0.238834,129.87644855792706,300,37.59784,134.60424809353796,120.01133928678087,300,0.01019795,1909,1,137,137,1.073e-8,-1999,0
9005,1763768675000,DAQ DT Firmware Run,27,0.238834,129.90009053548178,300,36.01642,134.62976339784694,119.99877058721222,300,0.007481248,1920,1,137,137,1.081e-8,-1999,0
9004,1763757187000,DAQ DT Firmware Test,27,0.238834,129.91816171923068,300,36.07331,134.62867704503677,120.00363395541322,300,0.007503484,1878,1,137,137,1.096e-8,-1999,0
9003,1763753727000,DAQ DT Firmware updated,27,0.238834,129.91412150566214,300,36.0469,134.62756405236587,120.0060895164058,300,0.00749752,1897,1,137,137,1.073e-8,-1999,0
9002,1763751587000,DAQ DT Firmware,27,0.238834,129.90958352954362,300,36.06098,134.625051310911,120.00775125794492,300,0.007505665,1901,1,137,137,1.083e-8,-1999,0
