run_number,UDET_bias,LDET_bias,HV,MAIN,UDET,date,start_time,end_time,ExB,UDET_armor,UDET_ring,LDET_armor,UDET_leakage,LDET_leakage
8655,300.0,300.0,27.0,137.0,137.0,2025-10-14,20:51:38,20:51:36,-1499.050847457627,134.45861812747071,119.98491200325873,129.96419436348305,0.007057375,35.94986
8709,300.0,300.0,27.0,137.0,137.0,2025-10-21,19:48:30,19:48:28,-1499.0,134.4584993949303,119.99160629052382,129.9744823251293,0.007585366,35.96716
8855,300.0,300.0,27.0,137.0,137.0,2025-10-31,15:31:48,15:31:46,-1499.1179487179486,134.27525854462195,120.01329025530993,130.07753715055534,0.007338408,35.86735
8646,300.0,300.0,27.0,137.0,137.0,2025-10-14,15:35:23,15:35:21,-1499.078125,134.46832986995406,119.9997567621572,129.9264465192999,0.007079728,35.94495
8848,300.0,300.0,27.0,137.0,137.0,2025-10-30,20:20:45,20:20:43,-1499.0,134.30647285115464,120.00483150072485,130.04883123327184,0.007573049,35.6369
8631,300.0,300.0,27.0,137.0,137.0,2025-10-13,19:53:12,19:53:10,-1499.4909983633386,134.47451263578068,120.0094258726524,129.84392739769228,0.007195943000000001,35.962759999999996
8647,300.0,300.0,27.0,137.0,137.0,2025-10-14,16:06:26,16:06:24,-1499.4259681093397,134.46570491111194,119.99533139045334,129.88835323765426,0.0070802669999999995,35.95297
8690,300.0,300.0,27.0,137.0,137.0,2025-10-20,18:44:54,18:44:52,-1499.0,134.45372151046044,120.00914354021215,129.98044958437123,0.008446601,36.3073
8828,300.0,300.0,27.0,137.0,137.0,2025-10-29,21:22:58,21:22:57,-1499.40206185567,134.32705369636193,120.00315997375185,130.06611447670744,0.008401622,35.54441
8839,300.0,300.0,27.0,137.0,137.0,2025-10-30,15:11:06,15:11:04,-1499.0121212121212,134.29942340708843,120.00343305715558,130.04262306839948,0.0076449230000000005,35.5309
8847,300.0,300.0,27.0,137.0,137.0,2025-10-30,19:32:26,19:54:53,-1499.0,134.3046870731807,120.00439385100678,130.05468575106906,0.007589203,35.55314
8643,300.0,300.0,27.0,137.0,137.0,2025-10-14,13:57:48,13:57:46,-1499.0588235294117,134.46446670006063,120.00769313066857,129.91326094219286,0.007090448,35.95845
8696,300.0,300.0,27.0,137.0,137.0,2025-10-21,12:31:49,12:31:47,-1499.0,134.4469080369654,119.99690344058322,129.98738002084357,0.007709779,36.00178
